# Simulation 9 (Data loaded from a file)
# 493 data points written for 54 variables.
#
# Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (cm),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
23.35,230.023,-10.414,40.55,10.414,40.553,10.916,0.012,10.916,0.0572957795,1.986,0.464,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.031,1.169e6,0,245.389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.891,13.505,986.3,339.483,0.003,0.124
23.352,229.996,-10.312,39.583,10.312,39.585,10.91,0.012,10.91,0.0572957795,1.985,0.473,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.031,1.158e6,0,240.675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.887,13.505,986.3,339.483,0.003,0.124
23.355,229.969,-10.208,38.616,10.209,38.619,10.905,0.012,10.905,0.0572957795,1.983,0.49,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.03,1.146e6,0,235.965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.881,13.505,986.3,339.483,0.003,0.124
23.358,229.941,-10.104,37.65,10.104,37.654,10.9,0.012,10.9,0.0572957795,1.982,0.508,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.03,1.134e6,0,231.259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.875,13.505,986.3,339.483,0.003,0.124
23.361,229.912,-9.998,36.685,9.999,36.689,10.894,0.012,10.894,0.0572957795,1.981,0.526,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.03,1.122e6,0,226.557,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.868,13.505,986.3,339.483,0.003,0.124
23.364,229.882,-9.892,35.721,9.893,35.725,10.888,0.012,10.888,0.0572957795,1.979,0.543,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.029,1.11e6,0,221.858,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.861,13.506,986.3,339.483,0.003,0.124
23.367,229.852,-9.784,34.758,9.785,34.763,10.882,0.012,10.882,0.0572957795,1.977,0.561,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.029,1.098e6,0,217.165,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.855,13.506,986.3,339.483,0.003,0.124
23.37,229.82,-9.676,33.796,9.677,33.801,10.876,0.012,10.876,0.0572957795,1.975,0.579,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.029,1.086e6,0,212.475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.847,13.506,986.3,339.484,0.003,0.124
23.373,229.788,-9.566,32.834,9.567,32.84,10.869,0.012,10.869,0.0572957795,1.973,0.598,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.029,1.074e6,0,207.79,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.84,13.506,986.3,339.484,0.003,0.124
23.377,229.755,-9.455,31.874,9.456,31.88,10.862,0.012,10.862,0.0572957795,1.971,0.616,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.028,1.061e6,0,203.111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.832,13.506,986.3,339.484,0.003,0.124
23.38,229.721,-9.343,30.914,9.344,30.921,10.855,0.012,10.855,0.0572957795,1.969,0.634,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.028,1.049e6,0,198.436,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.824,13.507,986.3,339.484,0.004,0.124
23.384,229.686,-9.23,29.956,9.231,29.963,10.848,0.012,10.848,0.0572957795,1.966,0.652,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.028,1.036e6,0,193.767,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.816,13.507,986.3,339.484,0.004,0.124
23.388,229.65,-9.115,28.999,9.117,29.007,10.84,0.012,10.84,0.0572957795,1.964,0.671,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.027,1.023e6,0,189.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.807,13.507,986.3,339.484,0.004,0.124
23.392,229.612,-9,28.043,9.001,28.051,10.832,0.012,10.832,0.0572957795,1.961,0.69,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.027,1.01e6,0,184.446,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.798,13.507,986.3,339.484,0.004,0.124
23.397,229.574,-8.882,27.088,8.884,27.097,10.823,0.012,10.823,0.0572957795,1.958,0.708,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.027,9.973e5,0,179.795,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.788,13.508,986.3,339.484,0.004,0.124
23.401,229.534,-8.764,26.135,8.766,26.145,10.814,0.012,10.814,0.0572957795,1.955,0.727,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.026,9.84e5,0,175.151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.778,13.508,986.3,339.485,0.005,0.124
23.406,229.492,-8.644,25.183,8.646,25.193,10.805,0.012,10.805,0.0572957795,1.951,0.732,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.026,9.705e5,0,170.511,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.772,13.508,986.3,339.485,0.005,0.124
23.411,229.449,-8.523,24.231,8.524,24.241,10.795,0.012,10.795,0.0572957795,1.948,0.689,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.025,9.569e5,0,165.87,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.776,13.508,986.3,339.485,0.005,0.124
23.416,229.405,-8.4,23.283,8.401,23.292,10.785,0.012,10.785,0.0572957795,1.944,0.646,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.025,9.431e5,0,161.246,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.782,13.509,986.3,339.485,0.005,0.124
23.422,229.358,-8.276,22.337,8.277,22.345,10.774,0.012,10.774,0.0572957795,1.941,0.603,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.025,9.291e5,0,156.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.787,13.509,986.3,339.485,0.006,0.124
23.428,229.31,-8.15,21.393,8.151,21.4,10.763,0.012,10.763,0.0572957795,1.938,0.559,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.024,9.15e5,0,152.025,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.793,13.509,986.4,339.485,0.006,0.124
23.434,229.259,-8.022,20.45,8.023,20.457,10.751,0.012,10.751,0.0572957795,1.934,0.516,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.024,9.006e5,0,147.428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.799,13.509,986.4,339.486,0.006,0.124
23.44,229.207,-7.893,19.51,7.894,19.516,10.738,0.012,10.738,0.0572957795,1.931,0.473,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.024,8.861e5,0,142.843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.805,13.51,986.4,339.486,0.007,0.124
23.448,229.151,-7.761,18.572,7.762,18.577,10.724,0.012,10.724,0.0572957795,1.928,0.43,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.023,8.714e5,0,138.269,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.812,13.51,986.4,339.486,0.007,0.124
23.455,229.093,-7.628,17.637,7.629,17.641,10.71,0.012,10.71,0.0572957795,1.925,0.386,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.023,8.564e5,0,133.707,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.819,13.511,986.4,339.486,0.008,0.124
23.463,229.032,-7.493,16.706,7.494,16.711,10.694,0.012,10.694,0.0572957795,1.922,0.421,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.022,8.413e5,0,129.17,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.001,NaN,NaN,NaN,NaN,1.804,13.511,986.4,339.487,0.008,0.124
23.472,228.968,-7.356,15.776,7.358,15.784,10.677,0.012,10.677,0.0572957795,1.918,0.496,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.022,8.259e5,0,124.648,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.995e-4,NaN,NaN,NaN,NaN,1.777,13.511,986.4,339.487,0.009,0.125
23.481,228.899,-7.217,14.852,7.219,14.863,10.66,0.012,10.66,0.0572957795,1.912,0.572,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.022,8.104e5,0,120.153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.825e-4,NaN,NaN,NaN,NaN,1.747,13.512,986.4,339.487,0.009,0.125
23.491,228.827,-7.076,13.932,7.078,13.947,10.64,0.012,10.64,0.0572957795,1.906,0.648,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.021,7.946e5,0,115.677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.652e-4,NaN,NaN,NaN,NaN,1.715,13.512,986.4,339.487,0.01,0.125
23.502,228.75,-6.932,13.016,6.936,13.036,10.619,0.012,10.619,0.0572957795,1.898,0.726,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.021,7.786e5,0,111.224,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.476e-4,NaN,NaN,NaN,NaN,1.681,13.513,986.4,339.488,0.011,0.125
23.514,228.667,-6.786,12.103,6.79,12.127,10.596,0.012,10.596,0.0572957795,1.888,0.772,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.02,7.623e5,0,106.784,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.297e-4,NaN,NaN,NaN,NaN,1.654,13.513,986.4,339.488,0.012,0.125
23.528,228.579,-6.639,11.189,6.643,11.21,10.572,0.012,10.572,0.0572957795,1.879,0.688,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.02,7.457e5,0,102.318,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.115e-4,NaN,NaN,NaN,NaN,1.666,13.514,986.4,339.488,0.013,0.125
23.542,228.483,-6.49,10.288,6.493,10.306,10.544,0.012,10.544,0.0572957795,1.871,0.605,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.02,7.289e5,0,97.916,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.932e-4,NaN,NaN,NaN,NaN,1.68,13.514,986.4,339.489,0.015,0.125
23.558,228.38,-6.338,9.393,6.34,9.407,10.514,0.012,10.514,0.0572957795,1.862,0.521,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.019,7.118e5,0,93.543,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.746e-4,NaN,NaN,NaN,NaN,1.695,13.515,986.5,339.489,0.016,0.125
23.576,228.266,-6.183,8.506,6.185,8.519,10.48,0.012,10.48,0.0572957795,1.853,0.482,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.019,6.944e5,0,89.217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.557e-4,NaN,NaN,NaN,NaN,1.695,13.516,986.5,339.489,0.018,0.125
23.597,228.14,-6.026,7.624,6.028,7.64,10.442,0.012,10.442,0.0572957795,1.843,0.492,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.018,6.768e5,0,84.921,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.365e-4,NaN,NaN,NaN,NaN,1.679,13.516,986.5,339.49,0.021,0.125
23.621,227.999,-5.867,6.75,5.869,6.769,10.399,0.012,10.399,0.0572957795,1.831,0.502,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.018,6.589e5,0,80.665,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.17e-4,NaN,NaN,NaN,NaN,1.66,13.517,986.5,339.49,0.024,0.125
23.648,227.843,-5.707,5.885,5.709,5.899,10.349,0.012,10.349,0.0572957795,1.82,0.403,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.017,6.409e5,0,76.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.972e-4,NaN,NaN,NaN,NaN,1.681,13.518,986.5,339.491,0.027,0.125
23.68,227.663,-5.546,5.042,5.547,5.05,10.292,0.012,10.292,0.0572957795,1.811,0.286,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.017,6.228e5,0,72.314,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.774e-4,NaN,NaN,NaN,NaN,1.711,13.519,986.5,339.491,0.032,0.125
23.718,227.452,-5.383,4.221,5.385,4.237,10.222,0.012,10.222,0.0572957795,1.797,0.365,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.016,6.046e5,0,68.323,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.577e-4,NaN,NaN,NaN,NaN,1.667,13.52,986.5,339.492,0.039,0.125
23.766,227.201,-5.222,3.414,5.225,3.45,10.137,0.012,10.137,0.0572957795,1.774,0.494,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.016,5.866e5,0,64.412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.374e-4,NaN,NaN,NaN,NaN,1.596,13.522,986.6,339.493,0.047,0.125
23.826,226.891,-5.063,2.633,5.065,2.67,10.031,0.012,10.031,0.0572957795,1.747,0.438,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.015,5.687e5,0,60.599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.169e-4,NaN,NaN,NaN,NaN,1.59,13.523,986.6,339.494,0.06,0.125
23.9,226.521,-4.924,1.882,4.924,1.886,9.902,0.012,9.902,0.0572957795,1.738,0.121,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.015,5.528e5,0,56.901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.965e-4,NaN,NaN,NaN,NaN,1.695,13.525,986.6,339.495,0.074,0.125
24.017,225.956,-4.778,1.248,4.778,1.25,9.7,0.012,9.7,0.0572957795,1.73,0.07,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.015,5.365e5,0,53.81,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.794e-4,NaN,NaN,NaN,NaN,1.707,13.528,986.7,339.497,0.116,0.125
24.194,225.115,-4.67,0.606,4.67,0.609,9.391,0.012,9.391,0.0572957795,1.741,0.058,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.244e5,0,50.682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.618e-4,NaN,NaN,NaN,NaN,1.757,13.531,986.7,339.499,0.178,0.125
24.506,223.668,-4.623,0.151,4.624,0.431,8.83,0.012,8.83,0.0572957795,1.866,0.404,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.192e5,0,48.501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.496e-4,NaN,NaN,NaN,NaN,1.93,13.537,986.8,339.502,0.311,0.125
24.794,222.333,-4.633,-0.033,4.634,0.661,8.319,0.012,8.319,0.0572957795,1.676,0.66,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.205e5,0,47.675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.515e-4,NaN,NaN,NaN,NaN,1.554,13.546,987,339.508,0.288,0.125
25.02,221.287,-4.631,0.005,4.634,0.616,7.924,0.012,7.924,0.114591559,1.815,0.616,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.205e5,0,47.847,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.415e-4,NaN,NaN,NaN,NaN,1.967,13.555,987.2,339.513,0.226,0.125
25.52,218.969,-4.639,-0.016,4.639,0.222,6.989,0.012,6.989,0.114591559,1.926,0.221,28.590593977,-80.6151617749,9.791,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.211e5,0,47.662,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.494e-4,NaN,NaN,NaN,NaN,1.92,13.562,987.3,339.517,0.5,0.125
26.02,216.652,-4.628,0.023,4.628,0.332,6.068,0.012,6.068,0.114591559,1.76,0.331,28.590593977,-80.6151617749,9.792,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.199e5,0,47.863,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.57e-4,NaN,NaN,NaN,NaN,1.77,13.577,987.6,339.526,0.5,0.125
26.52,214.338,-4.631,-0.007,4.632,0.648,5.106,0.012,5.106,0.114591559,2.084,0.648,28.590593977,-80.6151617749,9.792,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.204e5,0,47.796,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.458e-4,NaN,NaN,NaN,NaN,2.067,13.592,987.8,339.536,0.5,0.125
27.02,212.02,-4.637,-0.011,4.637,0.056,4.057,0.012,4.057,0.1718873385,2.112,0.055,28.590593977,-80.6151617749,9.792,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.211e5,0,47.672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.664e-4,NaN,NaN,NaN,NaN,2.111,13.607,988.1,339.545,0.5,0.125
27.52,209.705,-4.626,0.023,4.626,0.413,3.053,0.012,3.053,0.2291831181,1.906,0.412,28.590593977,-80.6151617749,9.792,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.199e5,0,47.881,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.688e-4,NaN,NaN,NaN,NaN,1.917,13.622,988.4,339.554,0.5,0.125
27.94,207.761,-4.626,-0.001,4.626,0.777,2.184,0.012,2.184,0.2864788976,2.232,0.777,28.590593977,-80.6151617749,9.792,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.201e5,0,47.869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.542e-4,NaN,NaN,NaN,NaN,2.273,13.637,988.7,339.563,0.42,0.125
28.337,205.923,-4.636,-0.024,4.636,0.282,1.32,0.012,1.32,0.5156620156,2.121,0.281,28.590593977,-80.6151617749,9.792,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.213e5,0,47.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.759e-4,NaN,NaN,NaN,NaN,2.099,13.65,988.9,339.571,0.397,0.125
28.837,203.607,-4.628,0.014,4.628,0.104,0.247,0.012,0.247,2.7501974166,2.172,0.103,28.590593977,-80.6151617749,9.792,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.205e5,0,47.798,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.693e-4,NaN,NaN,NaN,NaN,2.17,13.662,989.1,339.578,0.5,0.126
29.337,201.291,-4.635,-0.014,4.635,0.091,-0.851,0.012,0.851,179.2211983169,2.217,0.09,28.590593977,-80.6151617749,9.792,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.214e5,0,47.66,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.72e-4,NaN,NaN,NaN,NaN,2.215,13.677,989.4,339.587,0.5,0.126
29.837,198.976,-4.625,0.021,4.625,0.262,-1.992,0.012,1.992,179.679564553,2.348,0.261,28.590593977,-80.6151617749,9.792,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.203e5,0,47.844,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.759e-4,NaN,NaN,NaN,NaN,2.341,13.692,989.6,339.596,0.5,0.126
30.337,196.662,-4.629,-0.008,4.629,0.572,-3.094,0.012,3.094,179.7941561121,2.062,0.572,28.590593977,-80.6151617749,9.792,NaN,NaN,NaN,NaN,4874,247,NaN,NaN,NaN,NaN,NaN,0.014,5.209e5,0,47.769,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.84e-4,NaN,NaN,NaN,NaN,2.077,13.707,989.9,339.605,0.5,0.126
